INVESTIGATION_ID,AddrLine,House,Street,Type,Direction
5507841,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5489508,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5722212,51 HIGH PARK BLVD,51,HIGH PARK,BLVD,
5508261,1723 DUFFERIN ST,1723,DUFFERIN,ST,
5562079,1723 DUFFERIN ST,1723,DUFFERIN,ST,
5563387,1723 DUFFERIN ST,1723,DUFFERIN,ST,
5722189,1723 DUFFERIN ST,1723,DUFFERIN,ST,
5389242,1034 ST CLAIR AVE W,1034,ST CLAIR,AVE,W
5389959,1034 ST CLAIR AVE W,1034,ST CLAIR,AVE,W
5686625,104 1/2 SCOLLARD ST,104 1/2,SCOLLARD,ST,
5684754,104 1/2 SCOLLARD ST,104 1/2,SCOLLARD,ST,
5430815,260 SPADINA AVE,260,SPADINA,AVE,
5504079,260 SPADINA AVE,260,SPADINA,AVE,
5505492,260 SPADINA AVE,260,SPADINA,AVE,
5505499,260 SPADINA AVE,260,SPADINA,AVE,
5635182,260 SPADINA AVE,260,SPADINA,AVE,
5690278,260 SPADINA AVE,260,SPADINA,AVE,
5675613,260 SPADINA AVE,260,SPADINA,AVE,
5592745,494 QUEEN ST W,494,QUEEN,ST,W
5592897,494 QUEEN ST W,494,QUEEN,ST,W
5526407,9 ROBINSON ST,9,ROBINSON,ST,
5631882,9 ROBINSON ST,9,ROBINSON,ST,
5437301,123 SACKVILLE ST,123,SACKVILLE,ST,
5537783,123 SACKVILLE ST,123,SACKVILLE,ST,
5537821,123 SACKVILLE ST,123,SACKVILLE,ST,
5484211,123 SACKVILLE ST,123,SACKVILLE,ST,
5480252,123 SACKVILLE ST,123,SACKVILLE,ST,
5466943,123 SACKVILLE ST,123,SACKVILLE,ST,
5706810,123 SACKVILLE ST,123,SACKVILLE,ST,
5368735,784 PAPE AVE,784,PAPE,AVE,
5678509,464 DANFORTH AVE,464,DANFORTH,AVE,
5683883,464 DANFORTH AVE,464,DANFORTH,AVE,
3640343,2475 GERRARD ST E,2475,GERRARD,ST,E
5533478,42 HAGERSVILLE CRT,42,HAGERSVILLE,CRT,
5671182,71 HALLOW CRES,71,HALLOW,CRES,
5679076,71 HALLOW CRES,71,HALLOW,CRES,
5664393,53 PAKENHAM DR,53,PAKENHAM,DR,
5695340,53 PAKENHAM DR,53,PAKENHAM,DR,
5455318,132 ELMHURST DR,132,ELMHURST,DR,
5704337,10 CROMARTY DR,10,CROMARTY,DR,
