INVESTIGATION_ID,Location,Sublocation,Desc,Status
5701858,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5701873,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to",Open
5701984,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to waste on curb, etc.",Open
5701548,Unit 1106,Bedroom,"Wall(s) not maintained free of holes, cracks, damaged and deteriorated materials.Namely: The wall in the bedroom is not free of water marks, cracks and peeling paint.",Closed
5695665,Garbage Area,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to a mattress and other bulk items. ",Closed
5693250,,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped, or deposited, including but not limited to garbage bags, loose litter, etc.",Open
5693310,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to litter, debris, yard waste, and/or any other materials by their nature of which appear to have been cast aside, discarded, or abandoned.namely: cardboard boxes, plastic bins, garbage bags, picture frame, plastic barrels, and more.",Open
5702440,Rear Yard,,"The yards and /or other part of property is not being kept clean and free from accumulation of junk, rubbish, brush, refuse, litter, garbage and/or other debris.",Closed
5702558,Mian Floor,,Handrail not provided for the interior stairs of single dwelling unit that has more than two risers. Namely missing/ damaged handrail on basement stairwell,Substantially Complete
5702558,Basement,Living Room,"Ceiling not maintained free of holes, cracks, damaged and deteriorated materials.",Closed
5702558,Basement,Kitchen,"Meals are being prepared in the room in which the required counter, backsplash and drain board are not made of a material impervious to water.",Open
5702558,Basement,Furnace room,Extension cords or other extensions are used as a permanent wiring system.,Substantially Complete
5702558,Basement,Furnace room,The electrical connections are not maintained in a safe and complete condition.,Substantially Complete
5688714,East Side Yard,,"The fence, screen and/or other enclosure around or on the property is not being maintained in good repair.",Open
5688714,East Side Yard,,"The fence, screen and/or other enclosure around or on the property is not being maintained free from hazards.",Open
5696917,Throughout Property,,"Owner of land failed to clean and clear refuse that has been thrown, placed, dumped or deposited, including but not limited to garbage, litter, couches, tires, wood, boxes, doors, any other discarded waste or junk.",Open
5696917,,,844-17B(2)Fail to remove empty regulation container/uncollected waste on time,Open
5696973,Side Of Property,,"Double gate swimming pool enclosure gate not kept locked at all times, included keeping the lockable drop bolt in the locked position, except when the enclosed area is in use.",Open
5696973,Rear Yard,,Fail to prevent access to the enclosed pool area through the wall of building forming part of pool enclosure.,Open
5696973,Rear Yard,,Swimming pool enclosure is less than 1.2 metres high on single residential property.,Open
5696973,Rear Yard,,The swimminig pool enclosure does not comply with this article.,Open
5697120,,,"The tree, plant, limb or branch, which is located on the property is dead and has not been removed or otherwise pruned to remove the dead portion.",Open
